date,label
2010-08-10,Reinvestment of MBS principal
2010-11-03,2nd quantitative easing announced
2011-08-09,Calendar-based forward guidance
2011-09-21,Operation Twist
2012-09-13,3rd quantitative easing announced
2012-12-12,Threshold guidance (Evans rule)
2013-05-22,Bernanke taper-tantrum speech
2013-12-18,Taper officially begins
2014-10-29,3rd quantitative easing ends
2014-12-17,Patient language introduced
2015-12-16,First post-GFC hike
2017-06-14,Balance-sheet normalization principles
2017-09-20,Balance-sheet runoff announcement
2018-12-19,Last hike / Powell hawkish-then-pivot
2019-01-30,Powell pivot to patient
2019-07-31,First post-2018 cut
2020-03-15,COVID emergency cut + open-ended QE
2020-08-27,Jackson Hole: FAIT adopted
2020-12-16,Outcome-based forward guidance
2021-03-17,FOMC SEP first shows 2023 hike dots
2021-11-03,Taper announced; transitory fades
2021-12-15,Transitory dropped + accelerated taper
2022-03-16,First hike of 2022 cycle
2022-05-04,50bp hike + balance-sheet runoff start
2023-03-22,Silicon-Valley-Bank-era hike
2024-09-18,First cut of 2024 cycle
